gene_callers_id	source	accession	function	e_value
AMXMAG_0088___3941	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	1.6e-87
AMXMAG_0088___3487	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	7.8e-87
AMXMAG_0088___4405	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	1e-86
AMXMAG_0088___4404	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	1.6e-80
AMXMAG_0088___3756	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	1.2e-79
AMXMAG_0088___4033	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	1.8e-76
AMXMAG_0088___4011	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	4e-75
AMXMAG_0088___4245	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	3.4e-73
AMXMAG_0088___4065	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	3.6e-73
AMXMAG_0088___3539	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	4.2e-72
AMXMAG_0088___3836	KOfam	K00278	L-aspartate oxidase [EC:1.4.3.16]	5.4e-190
AMXMAG_0088___3497	KOfam	K02484	two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	6.6e-97
AMXMAG_0088___4489	KOfam	K00720	ceramide glucosyltransferase [EC:2.4.1.80]	4.2e-78
AMXMAG_0088___4195	KOfam	K07098	uncharacterized protein	3.6e-78
AMXMAG_0088___4286	KOfam	K13953	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	7.5e-112
AMXMAG_0088___4553	KOfam	K02916	large subunit ribosomal protein L35	4.3e-18
AMXMAG_0088___4154	KOfam	K07339	mRNA interferase HicA [EC:3.1.-.-]	3e-15
AMXMAG_0088___3605	KOfam	K00330	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	1.2e-42
AMXMAG_0088___3816	KOfam	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	3.6e-119
AMXMAG_0088___4464	KOfam	K03639	GTP 3',8-cyclase [EC:4.1.99.22]	2.5e-99
AMXMAG_0088___3887	KOfam	K03605	hydrogenase maturation protease [EC:3.4.23.-]	4.7e-47
AMXMAG_0088___3799	KOfam	K23264	phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3]	6.7e-33
AMXMAG_0088___4331	KOfam	K01776	glutamate racemase [EC:5.1.1.3]	4.1e-32
AMXMAG_0088___4414	KOfam	K01992	ABC-2 type transport system permease protein	3.2e-05
AMXMAG_0088___4246	KOfam	K00681	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	2.4e-202
AMXMAG_0088___4240	KOfam	K14623	DNA-damage-inducible protein D	1.6e-64
AMXMAG_0088___3641	KOfam	K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	3.2e-59
AMXMAG_0088___4281	KOfam	K00124	formate dehydrogenase iron-sulfur subunit	4.1e-63
AMXMAG_0088___3890	KOfam	K00124	formate dehydrogenase iron-sulfur subunit	4.1e-60
AMXMAG_0088___3625	KOfam	K02860	16S rRNA processing protein RimM	1.8e-46
AMXMAG_0088___3647	KOfam	K03565	regulatory protein	2.5e-29
AMXMAG_0088___3824	KOfam	K02653	type IV pilus assembly protein PilC	1.3e-151
AMXMAG_0088___4382	KOfam	K19267	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	1.8e-40
AMXMAG_0088___3702	KOfam	K03799	heat shock protein HtpX [EC:3.4.24.-]	3.1e-72
AMXMAG_0088___3910	KOfam	K11389	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]	1.5e-197
AMXMAG_0088___4346	KOfam	K07058	membrane protein	1.9e-20
AMXMAG_0088___3822	KOfam	K02652	type IV pilus assembly protein PilB	5.2e-243
AMXMAG_0088___4150	KOfam	K07064	uncharacterized protein	1.4e-22
AMXMAG_0088___4409	KOfam	K07064	uncharacterized protein	1.5e-18
AMXMAG_0088___4471	KOfam	K07064	uncharacterized protein	1.4e-17
AMXMAG_0088___4225	KOfam	K13788	phosphate acetyltransferase [EC:2.3.1.8]	1e-259
AMXMAG_0088___4027	KOfam	K00657	diamine N-acetyltransferase [EC:2.3.1.57]	1.7e-45
AMXMAG_0088___4530	KOfam	K02040	phosphate transport system substrate-binding protein	4.8e-75
AMXMAG_0088___4570	KOfam	K00858	NAD+ kinase [EC:2.7.1.23]	3.6e-69
AMXMAG_0088___4292	KOfam	K07460	putative endonuclease	1.7e-43
AMXMAG_0088___4118	KOfam	K19689	aminopeptidase [EC:3.4.11.-]	8.7e-72
AMXMAG_0088___4203	KOfam	K11259	2-hydroxyacyl-CoA lyase [EC:4.1.2.-]	1.7e-238
AMXMAG_0088___3937	KOfam	K03885	NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]	9.1e-151
AMXMAG_0088___3709	KOfam	K00426	cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	2.4e-63
AMXMAG_0088___3611	KOfam	K00340	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	3.2e-40
AMXMAG_0088___3891	KOfam	K06282	hydrogenase small subunit [EC:1.12.99.6]	1.3e-133
AMXMAG_0088___3671	KOfam	K00803	alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]	1.5e-177
AMXMAG_0088___4105	KOfam	K11891	type VI secretion system protein ImpL	1e-117
AMXMAG_0088___3618	KOfam	K12340	outer membrane protein	8.8e-82
AMXMAG_0088___4538	KOfam	K16898	ATP-dependent helicase/nuclease subunit A [EC:5.6.2.4 3.1.-.-]	2.6e-185
AMXMAG_0088___4446	KOfam	K09748	ribosome maturation factor RimP	3.4e-39
AMXMAG_0088___3771	KOfam	K06876	(6-4)DNA photolyase [EC:4.1.99.13]	2.1e-221
AMXMAG_0088___4355	KOfam	K02437	glycine cleavage system H protein	1.7e-59
AMXMAG_0088___3630	KOfam	K20866	glucose-1-phosphatase [EC:3.1.3.10]	1.8e-51
AMXMAG_0088___3696	KOfam	K03701	excinuclease ABC subunit A	0
AMXMAG_0088___4029	KOfam	K03701	excinuclease ABC subunit A	0
AMXMAG_0088___4544	KOfam	K08641	zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	3.9e-77
AMXMAG_0088___4127	KOfam	K01881	prolyl-tRNA synthetase [EC:6.1.1.15]	1.4e-137
AMXMAG_0088___4303	KOfam	K22719	murein hydrolase activator	8.4e-80
AMXMAG_0088___3878	KOfam	K18122	4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]	6e-195
AMXMAG_0088___4520	KOfam	K03270	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]	3e-55
AMXMAG_0088___4539	KOfam	K16899	ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-]	1.2e-92
AMXMAG_0088___3651	KOfam	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	3.4e-51
AMXMAG_0088___4229	KOfam	K23163	sulfate/thiosulfate transport system substrate-binding protein	2.3e-158
AMXMAG_0088___3619	KOfam	K02032	peptide/nickel transport system ATP-binding protein	2e-136
AMXMAG_0088___3627	KOfam	K03106	signal recognition particle subunit SRP54 [EC:3.6.5.4]	4.9e-185
AMXMAG_0088___3692	KOfam	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	8.8e-146
AMXMAG_0088___3612	KOfam	K00341	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	2.6e-228
AMXMAG_0088___4428	KOfam	K00382	dihydrolipoyl dehydrogenase [EC:1.8.1.4]	4.1e-184
AMXMAG_0088___4272	KOfam	K05588	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]	2.8e-94
AMXMAG_0088___4468	KOfam	K03892	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	1.5e-34
AMXMAG_0088___3614	KOfam	K00343	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	3.6e-139
AMXMAG_0088___4585	KOfam	K01061	carboxymethylenebutenolidase [EC:3.1.1.45]	1.4e-59
AMXMAG_0088___3626	KOfam	K02959	small subunit ribosomal protein S16	3.9e-28
AMXMAG_0088___3888	KOfam	K06281	hydrogenase large subunit [EC:1.12.99.6]	5.9e-218
AMXMAG_0088___4176	KOfam	K16092	vitamin B12 transporter	3e-129
AMXMAG_0088___4433	KOfam	K00800	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	6.6e-119
AMXMAG_0088___4257	KOfam	K22479	N-acetyltransferase	2e-43
AMXMAG_0088___4178	KOfam	K02030	polar amino acid transport system substrate-binding protein	5.6e-32
AMXMAG_0088___3688	KOfam	K16870	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]	4.2e-53
AMXMAG_0088___4106	KOfam	K11892	type VI secretion system protein ImpK	2.3e-30
AMXMAG_0088___3827	KOfam	K09005	uncharacterized protein	2.2e-45
AMXMAG_0088___4574	KOfam	K01303	acylaminoacyl-peptidase [EC:3.4.19.1]	5.6e-60
AMXMAG_0088___3796	KOfam	K01303	acylaminoacyl-peptidase [EC:3.4.19.1]	2.7e-56
AMXMAG_0088___4551	KOfam	K01868	threonyl-tRNA synthetase [EC:6.1.1.3]	5e-265
AMXMAG_0088___3894	KOfam	K01897	long-chain acyl-CoA synthetase [EC:6.2.1.3]	7.4e-172
AMXMAG_0088___4609	KOfam	K12141	hydrogenase-4 component F [EC:1.-.-.-]	5.1e-139
AMXMAG_0088___4205	KOfam	K01667	tryptophanase [EC:4.1.99.1]	9.5e-219
AMXMAG_0088___3662	KOfam	K03070	preprotein translocase subunit SecA [EC:7.4.2.8]	0
AMXMAG_0088___4608	KOfam	K12140	hydrogenase-4 component E [EC:1.-.-.-]	3.9e-56
AMXMAG_0088___4107	KOfam	K11893	type VI secretion system protein ImpJ	1.7e-95
AMXMAG_0088___3494	KOfam	K07798	membrane fusion protein, copper/silver efflux system	8.7e-168
AMXMAG_0088___4343	KOfam	K11065	thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]	3.2e-72
AMXMAG_0088___4513	KOfam	K07175	PhoH-like ATPase	5.3e-157
AMXMAG_0088___3620	KOfam	K02031	peptide/nickel transport system ATP-binding protein	4.5e-129
AMXMAG_0088___3984	KOfam	K03111	single-strand DNA-binding protein	3.4e-37
AMXMAG_0088___4617	KOfam	K04656	hydrogenase maturation protein HypF	9.3e-282
AMXMAG_0088___3613	KOfam	K00342	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	4.3e-201
AMXMAG_0088___3930	KOfam	K11529	glycerate 2-kinase [EC:2.7.1.165]	2.1e-116
AMXMAG_0088___3674	KOfam	K10804	acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]	6e-75
AMXMAG_0088___3874	KOfam	K01716	3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]	5.6e-72
AMXMAG_0088___3767	KOfam	K19159	antitoxin YefM	1.1e-14
AMXMAG_0088___4624	KOfam	K02237	competence protein ComEA	2.3e-31
AMXMAG_0088___4316	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	3.9e-149
AMXMAG_0088___3997	KOfam	K07165	transmembrane sensor	4.3e-70
AMXMAG_0088___4418	KOfam	K07165	transmembrane sensor	6.5e-22
AMXMAG_0088___4006	KOfam	K14657	LysR family transcriptional regulator, nod-box dependent transcriptional activator	2e-75
AMXMAG_0088___4171	KOfam	K02035	peptide/nickel transport system substrate-binding protein	3.5e-89
AMXMAG_0088___4579	KOfam	K02035	peptide/nickel transport system substrate-binding protein	8.8e-87
AMXMAG_0088___4427	KOfam	K21001	polysaccharide biosynthesis protein PslH	1.8e-103
AMXMAG_0088___3733	KOfam	K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	1.7e-59
AMXMAG_0088___4098	KOfam	K11897	type VI secretion system protein ImpF	1e-52
AMXMAG_0088___4438	KOfam	K01879	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	6e-242
AMXMAG_0088___4522	KOfam	K01845	glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	1.8e-138
AMXMAG_0088___4511	KOfam	K01845	glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	1.4e-100
AMXMAG_0088___4566	KOfam	K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	3.4e-288
AMXMAG_0088___3624	KOfam	K00554	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	2.7e-110
AMXMAG_0088___3751	KOfam	K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4]	5.8e-72
AMXMAG_0088___4439	KOfam	K01878	glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	1.4e-155
AMXMAG_0088___4097	KOfam	K11896	type VI secretion system protein ImpG	1.2e-201
AMXMAG_0088___3665	KOfam	K00031	isocitrate dehydrogenase [EC:1.1.1.42]	2.8e-54
AMXMAG_0088___4175	KOfam	K07004	uncharacterized protein	5e-106
AMXMAG_0088___4057	KOfam	K02197	cytochrome c-type biogenesis protein CcmE	5.9e-27
AMXMAG_0088___4301	KOfam	K09798	uncharacterized protein	9.5e-74
AMXMAG_0088___4601	KOfam	K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	9.9e-118
AMXMAG_0088___3622	KOfam	K03470	ribonuclease HII [EC:3.1.26.4]	1.2e-74
AMXMAG_0088___3876	KOfam	K09808	lipoprotein-releasing system permease protein	1.6e-84
AMXMAG_0088___4257	KOfam	K22441	diamine N-acetyltransferase [EC:2.3.1.57]	1.4e-30
AMXMAG_0088___3639	KOfam	K03699	magnesium and cobalt exporter, CNNM family	8.4e-132
AMXMAG_0088___4442	KOfam	K18285	aminodeoxyfutalosine synthase [EC:2.5.1.120]	4.6e-146
AMXMAG_0088___3615	KOfam	K01926	redox-sensing transcriptional repressor	2.5e-72
AMXMAG_0088___3919	KOfam	K03664	SsrA-binding protein	1.4e-67
AMXMAG_0088___3701	KOfam	K03116	sec-independent protein translocase protein TatA	1.2e-20
AMXMAG_0088___4612	KOfam	K04651	hydrogenase nickel incorporation protein HypA/HybF	2.4e-29
AMXMAG_0088___4363	KOfam	K14330	fatty aldehyde-generating acyl-ACP reductase [EC:1.2.1.80]	2.4e-85
AMXMAG_0088___4318	KOfam	K06287	nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]	1.3e-83
AMXMAG_0088___3572	KOfam	K03466	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	1e-92
AMXMAG_0088___4533	KOfam	K02036	phosphate transport system ATP-binding protein [EC:7.3.2.1]	6.3e-133
AMXMAG_0088___4181	KOfam	K01259	proline iminopeptidase [EC:3.4.11.5]	9.7e-125
AMXMAG_0088___4059	KOfam	K02195	heme exporter protein C	5.6e-70
AMXMAG_0088___3645	KOfam	K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]	2.4e-44
AMXMAG_0088___4569	KOfam	K06442	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	1.2e-110
AMXMAG_0088___4347	KOfam	K07576	metallo-beta-lactamase family protein	2e-176
AMXMAG_0088___3654	KOfam	K04043	molecular chaperone DnaK	2.4e-246
AMXMAG_0088___4556	KOfam	K01890	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	2.2e-141
AMXMAG_0088___3656	KOfam	K03705	heat-inducible transcriptional repressor	3.8e-93
AMXMAG_0088___4022	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	5.1e-43
AMXMAG_0088___3778	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	3.8e-42
AMXMAG_0088___3815	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	1.5e-41
AMXMAG_0088___4452	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	4.5e-39
AMXMAG_0088___4131	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	2.4e-34
AMXMAG_0088___3905	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	4.5e-34
AMXMAG_0088___4136	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	3.4e-33
AMXMAG_0088___4419	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	7e-33
AMXMAG_0088___3996	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	3.3e-32
AMXMAG_0088___4490	KOfam	K06872	uncharacterized protein	4.7e-26
AMXMAG_0088___4507	KOfam	K06872	uncharacterized protein	5.1e-23
AMXMAG_0088___4096	KOfam	K11895	type VI secretion system protein ImpH	6.4e-129
AMXMAG_0088___4060	KOfam	K02194	heme exporter protein B	1.9e-34
AMXMAG_0088___4559	KOfam	K18682	ribonucrease Y [EC:3.1.-.-]	1.9e-210
AMXMAG_0088___4531	KOfam	K02037	phosphate transport system permease protein	2.6e-110
AMXMAG_0088___4043	KOfam	K03301	ATP:ADP antiporter, AAA family	2.1e-116
AMXMAG_0088___4067	KOfam	K00344	NADPH:quinone reductase [EC:1.6.5.5]	7.2e-91
AMXMAG_0088___4270	KOfam	K00436	NAD-reducing hydrogenase large subunit [EC:1.12.1.2]	7.7e-217
AMXMAG_0088___4348	KOfam	K05594	ElaB protein	5.2e-16
AMXMAG_0088___4420	KOfam	K12942	aminobenzoyl-glutamate transport protein	4e-221
AMXMAG_0088___4371	KOfam	K00407	cytochrome c oxidase cbb3-type subunit IV	1.2e-07
AMXMAG_0088___4167	KOfam	K19156	antitoxin PrlF	1.5e-20
AMXMAG_0088___4358	KOfam	K06076	long-chain fatty acid transport protein	7.7e-79
